Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount,Total_Sales,Net_price,Month_name
106253,"2024-03-06 03:00:00",Alex-Stanly,"Sweet Koshary Mix",Small,175.65,9,0.05,"No Topping",69698,51,Unknown,Bronze,"Credit Card",ElMenus,50,8.4,134,22.8,88.7,1,"Not Holiday",Signature,Alexandria,"not weekend",3,221.32,1723.13,1426.72,March
104685,"2024-02-18 19:00:00",Cairo-Zamalek,"Super B.Laban",Large,67.31,9,0,Nuts,89206,45,Male,Gold,Instapay,Talabat,89,11.4,142,33.9,20.5,NULL,"Not Holiday",Signature,"Greater Cairo",Weekend,19,84.81,690.6,605.79,February
101732,"2024-01-19 00:45:00",Alex-Stanly,"Sweet Koshary Mix",Medium,178.51,2,0.15,Nutella,71726,44,Female,Bronze,Instapay,Talabat,11,6.4,105,40.9,77,4,"Not Holiday",Signature,Alexandria,Weekend,0,49.98,353.45,257.95,January
104743,"2024-02-19 09:30:00",Giza-Zayed,"Om Ali Cream",Large,57.95,10,0,"No Topping",74303,44,Female,Bronze,"Credit Card",ElMenus,116,12.6,149,28.3,38,1,"Not Holiday",Traditional,"Greater Cairo","not weekend",9,81.13,660.63,579.50,February
104522,"2024-02-17 02:15:00",Dubai-Marina,"Rice Pudding Nuts",Large,89.67,4,0,Nutella,85273,44,Male,"No Membership","Credit Card",Talabat,105,5.9,117,27.5,29.4,5,"Not Holiday",Traditional,UAE,Weekend,2,50.22,408.9,358.68,February
106341,"2024-03-07 01:00:00",Cairo-Zamalek,"Om Ali Cream",Small,97.22,9,0,Nutella,82307,29,Male,"No Membership",Wallet,"Mobile App",45,6.5,111,16.2,80.7,1,"Not Holiday",Traditional,"Greater Cairo","not weekend",1,122.5,997.48,874.98,March
100577,"2024-01-07 00:00:00",Mansoura-Mashaya,"Ice Cream Mango",Large,149.61,3,0.05,Lotus,61857,69,Unknown,Bronze,Instapay,ElMenus,70,14.6,126,15.2,71,NULL,"Not Holiday","Ice Cream",Delta,Weekend,0,62.84,489.23,405.07,January
105203,"2024-02-24 04:30:00",Alex-Stanly,"Qishtouza Nutella",Medium,121.13,3,0,Nutella,77915,65,Female,"No Membership",Instapay,"Mobile App",91,13.5,130,34.6,71.6,5,"Not Holiday",Modern,Alexandria,Weekend,4,50.87,414.26,363.39,February
106364,"2024-03-07 06:45:00","Cairo-Nasr City","Rice Pudding Nuts",Medium,94.9,3,0,Nutella,60115,56,Male,"No Membership",Wallet,Talabat,81,3.3,113,37.7,77,3,"Not Holiday",Traditional,"Greater Cairo","not weekend",6,39.86,324.56,284.70,March
100440,"2024-01-05 13:45:00",Alex-Stanly,"Om Ali Cream",Medium,47.44,5,0,"No Topping",52914,31,Male,"No Membership",Instapay,ElMenus,45,14,118,26,59.6,4,"Not Holiday",Traditional,Alexandria,Weekend,13,33.21,270.41,237.20,January
102751,"2024-01-29 15:30:00",Giza-Zayed,"Sweet Koshary Mix",Small,147.97,4,0,Nutella,55933,46,Female,Silver,"Credit Card",ElMenus,59,8.4,128,40.8,37,NULL,"Not Holiday",Signature,"Greater Cairo","not weekend",15,82.86,674.74,591.88,January
107488,"2024-03-18 23:45:00","Cairo-Nasr City","Sweet Koshary Mix",Medium,151.98,10,0,Pistachio,66164,30,Female,Gold,"Credit Card",Talabat,62,3.7,122,17,71.4,5,"Not Holiday",Signature,"Greater Cairo","not weekend",23,212.77,1732.57,1519.80,March
105273,"2024-02-24 22:00:00","Cairo-Nasr City","Super B.Laban",Medium,90.4,6,0,Lotus,70101,73,Male,"No Membership",Cash,In-store,95,12.3,119,27.8,55.5,1,Holiday,Signature,"Greater Cairo",Weekend,22,75.94,618.34,542.40,February
105654,"2024-02-28 21:15:00",Riyadh-Olaya,"Rice Pudding Nuts",Medium,163.55,1,0,Lotus,83385,38,Male,Gold,Cash,Talabat,25,12.6,138,22.9,66.6,1,"Not Holiday",Traditional,KSA,"not weekend",21,22.9,186.45,163.55,February
104000,"2024-02-11 15:45:00",Tanta-Saeed,"Qishtouza Lotus",Large,129.01,5,0,Lotus,89274,25,Male,Bronze,Wallet,ElMenus,103,9.5,140,27.8,80.5,3,"Not Holiday",Modern,Delta,Weekend,15,90.31,735.36,645.05,February
